"dataset.train","dataset.test","nsamples.test","strata","pearson","spearman","cor_success","rmse","mae","coeff_det","ndcg10","ndcg20","ndcg50","ndcg100","time_per_fold","nsamples.train","regressor","markers","extra_covariates","repetition","folds"
"DaysToFlowering1 split=2 train","DaysToFlowering1 split=2 test",94,"no_strata",0.79948773913796,0.798461094372589,1,17.7597540437762,13.941067827375,0.54489005588549,0.911096576372957,0.911121874829123,0.947645960406973,0.976879519834689,2.45200000004843,842,"rrBLUP-kin",842,"",4,0
"DaysToFlowering1 split=2 train","DaysToFlowering1 split=2 test",94,"no_strata",0.79948773913796,0.798461094372589,1,17.7597540437762,13.941067827375,0.54489005588549,0.911096576372957,0.911121874829123,0.947645960406973,0.976879519834689,2.44599999999627,842,"rrBLUP-kin",842,"",5,0
"DaysToFlowering1 split=3 train","DaysToFlowering1 split=3 test",94,"no_strata",0.834336623744867,0.846563446814116,1,17.054141015824,13.6886533597633,0.571399974473375,0.88494459196746,0.893503185727591,0.948351559441538,0.970125725897772,2.44800000009127,842,"rrBLUP-kin",842,"",1,0
"DaysToFlowering1 split=3 train","DaysToFlowering1 split=3 test",94,"no_strata",0.834336623744867,0.846563446814116,1,17.054141015824,13.6886533597633,0.571399974473375,0.88494459196746,0.893503185727591,0.948351559441538,0.970125725897772,2.44799999985844,842,"rrBLUP-kin",842,"",2,0
"DaysToFlowering1 split=3 train","DaysToFlowering1 split=3 test",94,"no_strata",0.834336623744867,0.846563446814116,1,17.054141015824,13.6886533597633,0.571399974473375,0.88494459196746,0.893503185727591,0.948351559441538,0.970125725897772,2.44599999999627,842,"rrBLUP-kin",842,"",3,0
"DaysToFlowering1 split=3 train","DaysToFlowering1 split=3 test",94,"no_strata",0.834336623744867,0.846563446814116,1,17.054141015824,13.6886533597633,0.571399974473375,0.88494459196746,0.893503185727591,0.948351559441538,0.970125725897772,2.45999999996275,842,"rrBLUP-kin",842,"",4,0
"DaysToFlowering1 split=3 train","DaysToFlowering1 split=3 test",94,"no_strata",0.834336623744867,0.846563446814116,1,17.054141015824,13.6886533597633,0.571399974473375,0.88494459196746,0.893503185727591,0.948351559441538,0.970125725897772,2.44399999990128,842,"rrBLUP-kin",842,"",5,0
"DaysToFlowering1 split=4 train","DaysToFlowering1 split=4 test",94,"no_strata",0.858181390245709,0.864026009352533,1,17.701130068906,14.0907225238458,0.574953377147011,0.910143227064172,0.917526582141335,0.949754551191045,0.974346247234795,2.48399999993853,842,"rrBLUP-kin",842,"",1,0
"DaysToFlowering1 split=4 train","DaysToFlowering1 split=4 test",94,"no_strata",0.858181390245709,0.864026009352533,1,17.701130068906,14.0907225238458,0.574953377147011,0.910143227064172,0.917526582141335,0.949754551191045,0.974346247234795,2.45800000010058,842,"rrBLUP-kin",842,"",2,0
"DaysToFlowering1 split=4 train","DaysToFlowering1 split=4 test",94,"no_strata",0.858181390245709,0.864026009352533,1,17.701130068906,14.0907225238458,0.574953377147011,0.910143227064172,0.917526582141335,0.949754551191045,0.974346247234795,2.47399999992922,842,"rrBLUP-kin",842,"",3,0
"DaysToFlowering1 split=4 train","DaysToFlowering1 split=4 test",94,"no_strata",0.858181390245709,0.864026009352533,1,17.701130068906,14.0907225238458,0.574953377147011,0.910143227064172,0.917526582141335,0.949754551191045,0.974346247234795,2.50300000002608,842,"rrBLUP-kin",842,"",4,0
"DaysToFlowering1 split=4 train","DaysToFlowering1 split=4 test",94,"no_strata",0.858181390245709,0.864026009352533,1,17.701130068906,14.0907225238458,0.574953377147011,0.910143227064172,0.917526582141335,0.949754551191045,0.974346247234795,2.45699999993667,842,"rrBLUP-kin",842,"",5,0
"DaysToFlowering1 split=5 train","DaysToFlowering1 split=5 test",94,"no_strata",0.764138335260068,0.780936624175574,1,18.5473934156088,14.4564614740092,0.444472669992538,0.895832720890627,0.896157096052725,0.936459642089602,0.970955831283164,2.45500000007451,842,"rrBLUP-kin",842,"",1,0
"DaysToFlowering1 split=5 train","DaysToFlowering1 split=5 test",94,"no_strata",0.764138335260068,0.780936624175574,1,18.5473934156088,14.4564614740092,0.444472669992538,0.895832720890627,0.896157096052725,0.936459642089602,0.970955831283164,2.45299999997951,842,"rrBLUP-kin",842,"",2,0
"DaysToFlowering1 split=5 train","DaysToFlowering1 split=5 test",94,"no_strata",0.764138335260068,0.780936624175574,1,18.5473934156088,14.4564614740092,0.444472669992538,0.895832720890627,0.896157096052725,0.936459642089602,0.970955831283164,2.47500000009313,842,"rrBLUP-kin",842,"",3,0
"DaysToFlowering1 split=5 train","DaysToFlowering1 split=5 test",94,"no_strata",0.764138335260068,0.780936624175574,1,18.5473934156088,14.4564614740092,0.444472669992538,0.895832720890627,0.896157096052725,0.936459642089602,0.970955831283164,2.49400000018068,842,"rrBLUP-kin",842,"",4,0
"DaysToFlowering1 split=5 train","DaysToFlowering1 split=5 test",94,"no_strata",0.764138335260068,0.780936624175574,1,18.5473934156088,14.4564614740092,0.444472669992538,0.895832720890627,0.896157096052725,0.936459642089602,0.970955831283164,2.48499999986961,842,"rrBLUP-kin",842,"",5,0
"DaysToFlowering1 split=6 train","DaysToFlowering1 split=6 test",94,"no_strata",0.850516184958406,0.840196372829099,1,15.5030906268346,11.9042167357706,0.625316495538934,0.918889355136285,0.933644444676084,0.956641343943288,0.981698081329008,2.51699999999255,842,"rrBLUP-kin",842,"",1,0
"DaysToFlowering1 split=6 train","DaysToFlowering1 split=6 test",94,"no_strata",0.850516184958406,0.840196372829099,1,15.5030906268346,11.9042167357706,0.625316495538934,0.918889355136285,0.933644444676084,0.956641343943288,0.981698081329008,2.47800000011921,842,"rrBLUP-kin",842,"",2,0
"DaysToFlowering1 split=6 train","DaysToFlowering1 split=6 test",94,"no_strata",0.850516184958406,0.840196372829099,1,15.5030906268346,11.9042167357706,0.625316495538934,0.918889355136285,0.933644444676084,0.956641343943288,0.981698081329008,2.45399999991059,842,"rrBLUP-kin",842,"",3,0
